mdadm 4.3-2
media-player-info 24-2
mesa 1:24.1.1-1
meson 1.4.1-1
miniupnpc 2.2.7-2
minizip 1:1.3.1-2
mjpegtools 2.2.1-2
mkinitcpio 39.2-2
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20240407-1
mod_dnssd 0.6-9
mpdecimal 4.0.0-2
mpfr 4.2.1-3
mpg123 1.32.6-1
msgpack-c 5.0.0-2
msgraph 0.2.2-1
mtdev 1.1.6-2
mutter 46.2-1
nano 8.0-1
nautilus 46.2-1
ncurses 6.5-3
neofetch 7.1.0-2
neon 0.33.0-1
neovim 0.10.0-4
neovim-git-debug 0.11.0.r17.g48c2ad5d2d-1
net-snmp 5.9.4-4
nettle 3.9.1-1
network-manager-applet 1.36.0-1
networkmanager 1.48.0-1
ninja 1.12.1-1
nm-connection-editor 1.36.0-1
node-gyp 10.1.0-3
nodejs 22.3.0-1
nodejs-nopt 7.2.0-1
noto-fonts-emoji 1:2.042-1
npm 10.8.1-1
npth 1.7-1
nspr 4.35-3
nss 3.101-1
ocl-icd 2.3.2-1
openal 1.23.1-1
opencore-amr 0.1.6-1
openexr 3.2.4-1
openjpeg2 2.5.2-1
openmp 17.0.6-2
openssh 9.7p1-2
openssl 3.3.1-1
optipng 0.7.8-1
opus 1.5.2-1
opusfile 0.12-3
orc 0.4.38-1
orca 46.1-2
osinfo-db 20240523-1
ostree 2024.6-1
p11-kit 0.25.3-1
pacman 6.1.0-3
pacman-contrib 1.10.6-1
pacman-mirrorlist 20231001-1
pam 1.6.1-2
pambase 20230918-1
pango 1:1.54.0-1
pangomm 2.46.4-1
pangomm-2.48 2.52.0-1
parted 3.6-1
patch 2.7.6-10
pavucontrol 1:6.0-1
pciutils 3.13.0-1
pcre 8.45-4
pcre2 10.44-1
pcsclite 2.2.3-1
perl 5.38.2-1
perl-error 0.17029-5
perl-file-next 1.18-5
perl-mailtools 2.21-7
perl-timedate 2.33-5
phonon-qt6 4.12.0-4
phonon-qt6-vlc 0.12.0-2
pinentry 1.3.0-1
pinta 2.1.2-2
pipewire 1:1.0.7-2
pipewire-alsa 1:1.0.7-2
pipewire-audio 1:1.0.7-2
pipewire-jack 1:1.0.7-2
pipewire-pulse 1:1.0.7-2
pixman 0.43.4-1
